Age,WorkClass,Weight,Education,EducationNumber,Occupation,Relationship,MarriageStatus,PartnerStatus,Race,Sex,CapitalGain,CapitalLoss,HoursPerWeek,Native Country,Salary
50,Self Employed,83311,Undergraduate,13,Exec-managerial, Husband, Married,Civil, White, Male,0,0,13,United-States, <=50K
38,Private,215646,High School,9,Handlers-cleaners, Not-in-family, Divorced,No Information, White, Male,0,0,40,United-States, <=50K
53,Private,234721,School,7,Handlers-cleaners, Husband, Married,Civil, Black, Male,0,0,40,United-States, <=50K
28,Private,338409,Undergraduate,13,Prof-specialty, Wife, Married,Civil, Black, Female,0,0,40,Cuba, <=50K
37,Private,284582,Graduate,14,Exec-managerial, Wife, Married,Civil, White, Female,0,0,40,United-States, <=50K
49,Private,160187,School,5,Other-service, Not-in-family, Married,Absent, Black, Female,0,0,16,Jamaica, <=50K
52,Self Employed,209642,High School,9,Exec-managerial, Husband, Married,Civil, White, Male,0,0,45,United-States, >50K
31,Private,45781,Graduate,14,Prof-specialty, Not-in-family, Never,No Information, White, Female,14084,0,50,United-States, >50K
42,Private,159449,Undergraduate,13,Exec-managerial, Husband, Married,Civil, White, Male,5178,0,40,United-States, >50K
37,Private,280464,Undergraduate,10,Exec-managerial, Husband, Married,Civil, Black, Male,0,0,80,United-States, >50K
30,Government,141297,Undergraduate,13,Prof-specialty, Husband, Married,Civil, Asian-Pac-Islander, Male,0,0,40,India, >50K
23,Private,122272,Undergraduate,13,Adm-clerical, Own-child, Never,No Information, White, Female,0,0,30,United-States, <=50K
32,Private,205019,Associate,12,Sales, Not-in-family, Never,No Information, Black, Male,0,0,50,United-States, <=50K
40,Private,121772,Associate,11,Craft-repair, Husband, Married,Civil, Asian-Pac-Islander, Male,0,0,40,Unknown, >50K
34,Private,245487,School,4,Transport-moving, Husband, Married,Civil, Amer-Indian-Eskimo, Male,0,0,45,Mexico, <=50K
25,Self Employed,176756,High School,9,Farming-fishing, Own-child, Never,No Information, White, Male,0,0,35,United-States, <=50K
32,Private,186824,High School,9,Machine-op-inspct, Unmarried, Never,No Information, White, Male,0,0,40,United-States, <=50K
38,Private,28887,School,7,Sales, Husband, Married,Civil, White, Male,0,0,50,United-States, <=50K
43,Self Employed,292175,Graduate,14,Exec-managerial, Unmarried, Divorced,No Information, White, Female,0,0,45,United-States, >50K
40,Private,193524,Doctorate,16,Prof-specialty, Husband, Married,Civil, White, Male,0,0,60,United-States, >50K
54,Private,302146,High School,9,Other-service, Unmarried, Separated,No Information, Black, Female,0,0,20,United-States, <=50K
35,Government,76845,School,5,Farming-fishing, Husband, Married,Civil, Black, Male,0,0,40,United-States, <=50K
43,Private,117037,School,7,Transport-moving, Husband, Married,Civil, White, Male,0,2042,40,United-States, <=50K
59,Private,109015,High School,9,Tech-support, Unmarried, Divorced,No Information, White, Female,0,0,40,United-States, <=50K
56,Government,216851,Undergraduate,13,Tech-support, Husband, Married,Civil, White, Male,0,0,40,United-States, >50K
19,Private,168294,High School,9,Craft-repair, Own-child, Never,No Information, White, Male,0,0,40,United-States, <=50K
54,No Information,180211,Undergraduate,10,Unknown, Husband, Married,Civil, Asian-Pac-Islander, Male,0,0,60,South, >50K
39,Private,367260,High School,9,Exec-managerial, Not-in-family, Divorced,No Information, White, Male,0,0,80,United-States, <=50K
49,Private,193366,High School,9,Craft-repair, Husband, Married,Civil, White, Male,0,0,40,United-States, <=50K
23,Government,190709,Associate,12,Protective-serv, Not-in-family, Never,No Information, White, Male,0,0,52,United-States, <=50K
20,Private,266015,Undergraduate,10,Sales, Own-child, Never,No Information, Black, Male,0,0,44,United-States, <=50K
45,Private,386940,Undergraduate,13,Exec-managerial, Own-child, Divorced,No Information, White, Male,0,1408,40,United-States, <=50K
30,Government,59951,Undergraduate,10,Adm-clerical, Own-child, Married,Civil, White, Male,0,0,40,United-States, <=50K
22,Government,311512,Undergraduate,10,Other-service, Husband, Married,Civil, Black, Male,0,0,15,United-States, <=50K
48,Private,242406,School,7,Machine-op-inspct, Unmarried, Never,No Information, White, Male,0,0,40,Puerto-Rico, <=50K
21,Private,197200,Undergraduate,10,Machine-op-inspct, Own-child, Never,No Information, White, Male,0,0,40,United-States, <=50K
19,Private,544091,High School,9,Adm-clerical, Wife, Married,Military, White, Female,0,0,25,United-States, <=50K
31,Private,84154,Undergraduate,10,Sales, Husband, Married,Civil, White, Male,0,0,38,Unknown, >50K
48,Self Employed,265477,Associate,12,Prof-specialty, Husband, Married,Civil, White, Male,0,0,40,United-States, <=50K
31,Private,507875,School,5,Machine-op-inspct, Husband, Married,Civil, White, Male,0,0,43,United-States, <=50K
53,Self Employed,88506,Undergraduate,13,Prof-specialty, Husband, Married,Civil, White, Male,0,0,40,United-States, <=50K
24,Private,172987,Undergraduate,13,Tech-support, Husband, Married,Civil, White, Male,0,0,50,United-States, <=50K
49,Private,94638,High School,9,Adm-clerical, Unmarried, Separated,No Information, White, Female,0,0,40,United-States, <=50K
25,Private,289980,High School,9,Handlers-cleaners, Not-in-family, Never,No Information, White, Male,0,0,35,United-States, <=50K
57,Government,337895,Undergraduate,13,Prof-specialty, Husband, Married,Civil, Black, Male,0,0,40,United-States, >50K
53,Private,144361,High School,9,Machine-op-inspct, Husband, Married,Civil, White, Male,0,0,38,United-States, <=50K
44,Private,128354,Graduate,14,Exec-managerial, Unmarried, Divorced,No Information, White, Female,0,0,40,United-States, <=50K
41,Government,101603,Associate,11,Craft-repair, Husband, Married,Civil, White, Male,0,0,40,United-States, <=50K
29,Private,271466,Associate,11,Prof-specialty, Not-in-family, Never,No Information, White, Male,0,0,43,United-States, <=50K
25,Private,32275,Undergraduate,10,Exec-managerial, Wife, Married,Civil, Other, Female,0,0,40,United-States, <=50K
18,Private,226956,High School,9,Other-service, Own-child, Never,No Information, White, Female,0,0,30,Unknown, <=50K
47,Private,51835,Professional School,15,Prof-specialty, Wife, Married,Civil, White, Female,0,1902,60,Honduras, >50K
50,Government,251585,Undergraduate,13,Exec-managerial, Not-in-family, Divorced,No Information, White, Male,0,0,55,United-States, >50K
47,Self Employed,109832,High School,9,Exec-managerial, Not-in-family, Divorced,No Information, White, Male,0,0,60,United-States, <=50K
43,Private,237993,Undergraduate,10,Tech-support, Husband, Married,Civil, White, Male,0,0,40,United-States, >50K
46,Private,216666,School,3,Machine-op-inspct, Husband, Married,Civil, White, Male,0,0,40,Mexico, <=50K
35,Private,56352,Associate,11,Other-service, Husband, Married,Civil, White, Male,0,0,40,Puerto-Rico, <=50K
41,Private,147372,High School,9,Adm-clerical, Husband, Married,Civil, White, Male,0,0,48,United-States, <=50K
30,Private,188146,High School,9,Machine-op-inspct, Husband, Married,Civil, White, Male,5013,0,40,United-States, <=50K
30,Private,59496,Undergraduate,13,Sales, Husband, Married,Civil, White, Male,2407,0,40,United-States, <=50K
32,No Information,293936,School,4,Unknown, Not-in-family, Married,Absent, White, Male,0,0,40,Unknown, <=50K
48,Private,149640,High School,9,Transport-moving, Husband, Married,Civil, White, Male,0,0,40,United-States, <=50K
42,Private,116632,Doctorate,16,Prof-specialty, Husband, Married,Civil, White, Male,0,0,45,United-States, >50K
29,Private,105598,Undergraduate,10,Tech-support, Not-in-family, Divorced,No Information, White, Male,0,0,58,United-States, <=50K
36,Private,155537,High School,9,Craft-repair, Husband, Married,Civil, White, Male,0,0,40,United-States, <=50K
28,Private,183175,Undergraduate,10,Adm-clerical, Not-in-family, Divorced,No Information, White, Female,0,0,40,United-States, <=50K
53,Private,169846,High School,9,Adm-clerical, Wife, Married,Civil, White, Female,0,0,40,United-States, >50K
